---------------------- 1
#########################0.0
g:33 best (25):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:34 best (25):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:35 best (34):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:36 best (34):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:37 best (34):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:38 best (37):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:39 best (37):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:40 best (37):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:41 best (40):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:42 best (41):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:43 best (41):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:44 best (41):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:45 best (41):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:46 best (41):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:47 best (41):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:48 best (41):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:49 best (41):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:50 best (49):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:51 best (49):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:52 best (49):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:53 best (49):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:54 best (49):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:55 best (49):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:56 best (49):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:57 best (49):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:58 best (49):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:59 best (49):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:60 best (49):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:61 best (49):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:62 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:63 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:64 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:65 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:66 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:67 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:68 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:69 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:70 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:71 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:72 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:73 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:74 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:75 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:76 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:77 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:78 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:79 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:80 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
g:81 best (61):0,79 [0.0, 0.79, 0.0] [feas:50,not:0]
---------------------- 3
#########################0.0
---------------------- 4
#########################0.0
---------------------- 5
#########################0.0
---------------------- 6
#########################0.0
---------------------- 7
#########################0.0
---------------------- 8
#########################0.0
---------------------- 9
#########################0.0
---------------------- 10
#########################0.0
